Family,Father,Mother,Gender,Height,Kids
60,71,58,Male,69,2
61,70,69,Male,71,4
61,70,69,Male,70,4
61,70,69,Male,69,4
61,70,69,Female,69,4
62,70,69,Male,70,6
62,70,69,Male,68.7,6
62,70,69,Female,68,6
62,70,69,Female,66,6
62,70,69,Female,64,6
62,70,69,Female,62,6
63,70,68,Male,75,1
64,70,67,Male,70,5
64,70,67,Male,69,5
64,70,67,Female,66,5
64,70,67,Female,64,5
64,70,67,Female,60,5
65,70,67,Female,67.5,1
66,70,66.5,Male,73,11
66,70,66.5,Male,72,11
66,70,66.5,Male,72,11
66,70,66.5,Male,66.5,11
66,70,66.5,Female,69.2,11
66,70,66.5,Female,67.2,11
66,70,66.5,Female,66.5,11
66,70,66.5,Female,66,11
66,70,66.5,Female,66,11
66,70,66.5,Female,64.2,11
66,70,66.5,Female,63.7,11
67,70.5,65,Male,72,4
67,70.5,65,Male,70.2,4
67,70.5,65,Male,69,4
67,70.5,65,Male,68.5,4
68,70.5,65,Female,68,5
68,70.5,65,Female,65,5
68,70.5,65,Female,61.5,5
68,70.5,65,Female,61,5
68,70.5,65,Female,61,5
69,70,65,Male,73,8
69,70,65,Male,72,8
69,70,65,Male,70.5,8
69,70,65,Male,65,8
69,70,65,Male,65,8
69,70,65,Female,64.5,8
69,70,65,Female,63,8
69,70,65,Female,62,8
70,70,65,Male,67,5
70,70,65,Male,65,5
70,70,65,Female,64.5,5
70,70,65,Female,62.5,5
70,70,65,Female,62.5,5
71,70,65,Male,70,6
71,70,65,Male,70,6
71,70,65,Female,67,6
71,70,65,Female,65,6
71,70,65,Female,65,6
71,70,65,Female,63,6
72,70,65,Male,79,7
72,70,65,Male,75,7
72,70,65,Male,71,7
72,70,65,Female,69,7
72,70,65,Female,67,7
72,70,65,Female,65.7,7
72,70,65,Female,62,7
73,70,65,Male,73,3
73,70,65,Male,72.5,3
73,70,65,Female,65,3
74,70,65,Male,69,2
74,70,65,Male,69,2
75,70,64.7,Male,72,7
75,70,64.7,Male,70,7
75,70,64.7,Male,68.7,7
75,70,64.7,Female,66.5,7
75,70,64.7,Female,65.5,7
75,70,64.7,Female,64.7,7
75,70,64.7,Female,64.5,7
76,70,64,Male,70.7,7
76,70,64,Male,70,7
76,70,64,Male,68,7
76,70,64,Male,67,7
76,70,64,Male,66,7
76,70,64,Male,65,7
76,70,64,Female,67,7
77,70,64,Male,70,4
77,70,64,Male,68,4
77,70,64,Male,66.7,4
77,70,64,Female,65.5,4
78,70,64.2,Male,72,5
78,70,64.2,Male,70,5
78,70,64.2,Female,62.5,5
78,70,64.2,Female,61.2,5
78,70,64.2,Female,60.1,5
79,70.5,64,Male,74,8
79,70.5,64,Male,69.5,8
79,70.5,64,Male,69,8
79,70.5,64,Male,68,8
79,70.5,64,Male,68,8
79,70.5,64,Male,68,8
79,70.5,64,Female,65.5,8
79,70.5,64,Female,65,8
80,70.5,64.5,Female,60,1
81,70,64,Male,68,4
81,70,64,Female,65,4
81,70,64,Female,64,4
81,70,64,Female,62,4
82,70,64,Male,71,9
82,70,64,Male,70,9
82,70,64,Male,70,9
82,70,64,Male,70,9
82,70,64,Male,69.5,9
82,70,64,Male,68.5,9
82,70,64,Female,69,9
82,70,64,Female,65,9
82,70,64,Female,64,9
83,70,63.7,Male,70,8
83,70,63.7,Male,67,8
83,70,63.7,Male,65.5,8
83,70,63.7,Female,63.7,8
83,70,63.7,Female,63.2,8
83,70,63.7,Female,62.5,8
83,70,63.7,Female,62.2,8
83,70,63.7,Female,61,8
85,70.5,63,Male,72.5,5
85,70.5,63,Male,69,5
85,70.5,63,Male,67,5
85,70.5,63,Female,64.5,5
85,70.5,63,Female,64,5
86,70,63.5,Male,71,4
86,70,63.5,Male,67.5,4
86,70,63.5,Female,67.5,4
86,70,63.5,Female,63.5,4
87,70,63,Male,68,4
87,70,63,Male,67,4
87,70,63,Female,63.7,4
87,70,63,Female,62,4
88,70,63,Male,70,4
88,70,63,Male,66.5,4
88,70,63,Female,62,4
88,70,63,Female,61,4
89,70.5,62,Male,72,8
89,70.5,62,Male,70,8
89,70.5,62,Male,69.5,8
89,70.5,62,Male,69.5,8
89,70.5,62,Male,68,8
89,70.5,62,Female,65,8
89,70.5,62,Female,64,8
89,70.5,62,Female,63,8
90,70.3,62.7,Male,70.7,7
90,70.3,62.7,Male,69.7,7
90,70.3,62.7,Male,69.2,7
90,70.3,62.7,Male,65.2,7
90,70.3,62.7,Female,64,7
90,70.3,62.7,Female,63.5,7
90,70.3,62.7,Female,63.2,7
91,70.5,62,Male,72,3
91,70.5,62,Male,72,3
91,70.5,62,Female,60,3
92,70,61,Male,71.2,2
92,70,61,Male,67,2
93,70,60,Male,67,4
93,70,60,Male,64.5,4
93,70,60,Female,65,4
93,70,60,Female,63,4
94,70,60,Female,65,2
94,70,60,Female,65,2
95,70,58.5,Male,71.5,3
95,70,58.5,Male,64.5,3
95,70,58.5,Female,63,3
96,70,58,Male,72,5
96,70,58,Male,66,5
96,70,58,Female,66,5
96,70,58,Female,65,5
96,70,58,Female,63,5
97,69,68.5,Male,75,10
97,69,68.5,Male,71,10
97,69,68.5,Male,70,10
97,69,68.5,Female,66,10
97,69,68.5,Female,66,10
97,69,68.5,Female,65.5,10
97,69,68.5,Female,65,10
97,69,68.5,Female,65,10
97,69,68.5,Female,64,10
97,69,68.5,Female,64,10
98,69,67,Female,64,1
99,69,66,Male,73,8
99,69,66,Male,72,8
99,69,66,Male,71.7,8
99,69,66,Male,71.5,8
99,69,66,Female,65.5,8
99,69,66,Female,65,8
99,69,66,Female,62.7,8
99,69,66,Female,62.5,8
100,69,66,Male,71.2,3
100,69,66,Male,71,3
100,69,66,Male,70,3
101,69,66.7,Male,75,6
101,69,66.7,Male,74,6
101,69,66.7,Male,72,6
101,69,66.7,Male,68.5,6
101,69,66.7,Male,67,6
101,69,66.7,Male,66,6
102,69,66,Male,70,6
102,69,66,Male,68.5,6
102,69,66,Male,68,6
102,69,66,Female,65,6
102,69,66,Female,63,6
102,69,66,Female,62.5,6
103,69,66.5,Male,73,5
103,69,66.5,Male,71,5
103,69,66.5,Male,70.5,5
103,69,66.5,Male,70.5,5
103,69,66.5,Female,61,5
104,69.5,66.5,Male,70.5,4
104,69.5,66.5,Male,67.5,4
104,69.5,66.5,Female,64.5,4
104,69.5,66.5,Female,64,4
105,69,66.5,Male,71,6
105,69,66.5,Female,68.5,6
105,69,66.5,Female,67.5,6
105,69,66.5,Female,66,6
105,69,66.5,Female,63,6
105,69,66.5,Female,63,6
106,69.5,66,Male,71,7
106,69.5,66,Male,71,7
106,69.5,66,Male,70.5,7
106,69.5,66,Male,70.5,7
106,69.5,66,Female,66.5,7
106,69.5,66,Female,65.5,7
106,69.5,66,Female,64.5,7
107,69,66,Male,73,9
107,69,66,Male,72,9
107,69,66,Male,69,9
107,69,66,Male,69,9
107,69,66,Female,66.5,9
107,69,66,Female,65.5,9
107,69,66,Female,65.5,9
107,69,66,Female,65,9
107,69,66,Female,64,9
108,69,65,Male,70,7
108,69,65,Male,68.5,7
108,69,65,Male,67,7
108,69,65,Female,65,7
108,69,65,Female,64,7
108,69,65,Female,63.5,7
108,69,65,Female,61,7
109,69.5,64.5,Male,69.7,7
109,69.5,64.5,Male,68,7
109,69.5,64.5,Male,60,7
109,69.5,64.5,Female,65.2,7
109,69.5,64.5,Female,64.5,7
109,69.5,64.5,Female,63.7,7
109,69.5,64.5,Female,60,7
110,69.2,64,Male,71.7,4
110,69.2,64,Male,66.5,4
110,69.2,64,Female,65,4
110,69.2,64,Female,63.5,4
112,69,63,Male,69,3
112,69,63,Female,67.5,3
112,69,63,Female,63.5,3
113,69,63,Male,72,1
114,69,63,Male,73,6
114,69,63,Male,70,6
114,69,63,Male,70,6
114,69,63,Male,64,6
114,69,63,Female,66,6
114,69,63,Female,62,6
115,69,63.5,Male,70.5,7
115,69,63.5,Male,67,7
115,69,63.5,Male,66,7
115,69,63.5,Female,65,7
115,69,63.5,Female,63,7
115,69,63.5,Female,62,7
115,69,63.5,Female,61,7
116,69,63.5,Male,70.5,3
116,69,63.5,Female,63.7,3
116,69,63.5,Female,63,3
117,69.7,62,Female,62.5,1
118,69.5,62,Male,73,3
118,69.5,62,Male,72,3
118,69.5,62,Male,69,3
119,69,62,Male,73,5
119,69,62,Male,71,5
119,69,62,Male,71,5
119,69,62,Male,69,5
119,69,62,Female,63,5
121,69,62.5,Male,71,8
121,69,62.5,Male,70,8
121,69,62.5,Male,70,8
121,69,62.5,Male,69,8
121,69,62.5,Female,63.5,8
121,69,62.5,Female,62.5,8
121,69,62.5,Female,62.5,8
121,69,62.5,Female,62,8
122,69,62,Male,72,4
122,69,62,Male,68,4
122,69,62,Female,66,4
122,69,62,Female,66,4
123,69.5,61,Male,70,5
123,69.5,61,Male,69.5,5
123,69.5,61,Male,69,5
123,69.5,61,Female,63,5
123,69.5,61,Female,62,5
124,69,61,Male,68,9
124,69,61,Male,68,9
124,69,61,Male,67.5,9
124,69,61,Male,64,9
124,69,61,Male,63,9
124,69,61,Male,63,9
124,69,61,Female,63.5,9
124,69,61,Female,62,9
124,69,61,Female,62,9
125,69,60,Male,70.5,3
125,69,60,Female,68,3
125,69,60,Female,62.5,3
126,69,60,Male,69,4
126,69,60,Male,66,4
126,69,60,Female,61.7,4
126,69,60,Female,60.5,4
127,69,60.5,Male,69.5,1
128,68.7,70.5,Male,71,2
128,68.7,70.5,Female,61.7,2
129,68.5,67,Male,73,3
129,68.5,67,Male,71,3
129,68.5,67,Female,67,3
130,68.5,66.5,Male,70,11
130,68.5,66.5,Male,69,11
130,68.5,66.5,Male,69,11
130,68.5,66.5,Male,68.7,11
130,68.5,66.5,Male,68.5,11
130,68.5,66.5,Male,68.5,11
130,68.5,66.5,Male,68,11
130,68.5,66.5,Male,68,11
130,68.5,66.5,Male,68,11
130,68.5,66.5,Female,63.2,11
131,68,65,Male,67.5,2
131,68,65,Male,66,2
132,68,65.5,Male,66,2
132,68,65.5,Female,64,2
133,68,65.5,Male,71.7,7
133,68,65.5,Male,71.5,7
133,68,65.5,Male,70.7,7
133,68,65.5,Male,65.5,7
133,68,65.5,Female,66.5,7
133,68,65.5,Female,65.2,7
133,68,65.5,Female,61.5,7
134,68,65,Male,72,4
134,68,65,Male,72,4
134,68,65,Female,68,4
134,68,65,Female,66,4
135,68.5,65,Male,69.2,8
135,68.5,65,Male,68,8
135,68.5,65,Male,66,8
135,68.5,65,Male,66,8
135,68.5,65,Female,62,8
135,68.5,65,Female,61.5,8
135,68.5,65,Female,61,8
135,68.5,65,Female,60,8
136,68,64,Male,71,10
136,68,64,Male,68,10
136,68,64,Male,68,10
136,68,64,Male,67,10
136,68,64,Female,65,10
136,68,64,Female,64,10
136,68,64,Female,63,10
136,68,64,Female,63,10
136,68,64,Female,62,10
136,68,64,Female,61,10
137,68,64,Male,66,4
137,68,64,Male,63,4
137,68,64,Female,65.5,4
137,68,64,Female,62,4
138,68,64,Male,71.2,5
138,68,64,Male,71.2,5
138,68,64,Male,69,5
138,68,64,Male,68.5,5
138,68,64,Female,62.5,5
139,68,64.5,Female,62,1
140,68,64,Male,69,10
140,68,64,Male,67,10
140,68,64,Male,66,10
140,68,64,Female,66,10
140,68,64,Female,66,10
140,68,64,Female,65,10
140,68,64,Female,65,10
140,68,64,Female,65,10
140,68,64,Female,64,10
140,68,64,Female,63,10
141,68,63,Male,70.5,8
141,68,63,Male,70,8
141,68,63,Male,68,8
141,68,63,Male,66,8
141,68,63,Male,66,8
141,68,63,Female,66,8
141,68,63,Female,62,8
141,68,63,Female,61.5,8
142,68.5,63.5,Male,73.5,4
142,68.5,63.5,Male,70,4
142,68.5,63.5,Male,69.5,4
142,68.5,63.5,Female,65.5,4
143,68,63,Male,67,1
144,68,63,Male,70,4
144,68,63,Male,68,4
144,68,63,Female,64.5,4
144,68,63,Female,64,4
145,68,63,Male,71,8
145,68,63,Male,68,8
145,68,63,Male,66,8
145,68,63,Male,65.5,8
145,68,63,Male,65,8
145,68,63,Female,63,8
145,68,63,Female,62,8
145,68,63,Female,62,8
146,68,63,Male,67,6
146,68,63,Male,67,6
146,68,63,Male,66,6
146,68,63,Female,64,6
146,68,63,Female,63.5,6
146,68,63,Female,61,6
147,68.5,63.5,Male,68.2,1
148,68,63,Male,70,1
149,68.2,63.5,Male,70,5
149,68.2,63.5,Male,69,5
149,68.2,63.5,Male,67,5
149,68.2,63.5,Male,65.5,5
149,68.2,63.5,Female,64.5,5
150,68,62.5,Male,68.5,1
151,68.7,62,Male,67.7,2
151,68.7,62,Female,61.7,2
152,68,62.5,Male,66.5,1
153,68,61,Male,68.5,5
153,68,61,Male,68,5
153,68,61,Male,64,5
153,68,61,Female,63.5,5
153,68,61,Female,63,5
154,68,60.2,Male,66.7,1
155,68,60,Male,64,7
155,68,60,Female,61,7
155,68,60,Female,61,7
155,68,60,Female,60,7
155,68,60,Female,60,7
155,68,60,Female,60,7
155,68,60,Female,56,7
156,68,60,Male,67.5,4
156,68,60,Male,67,4
156,68,60,Male,66.5,4
156,68,60,Female,60,4
157,68.5,59,Male,69,1
158,68,59,Male,68,10
158,68,59,Male,65,10
158,68,59,Male,64.7,10
158,68,59,Male,64,10
158,68,59,Male,64,10
158,68,59,Male,63,10
158,68,59,Female,65,10
158,68,59,Female,65,10
158,68,59,Female,62,10
158,68,59,Female,61,10
159,67,66.2,Male,72.7,5
159,67,66.2,Male,72.7,5
159,67,66.2,Male,71.5,5
159,67,66.2,Female,65.5,5
159,67,66.2,Female,63.5,5
160,67,66.5,Male,71,1
162,67,65,Male,69.7,6
162,67,65,Male,67.5,6
162,67,65,Female,65.5,6
162,67,65,Female,65,6
162,67,65,Female,64.5,6
162,67,65,Female,63.5,6
163,67,65.5,Male,70,5
163,67,65.5,Male,69,5
163,67,65.5,Female,65.5,5
163,67,65.5,Female,65.5,5
163,67,65.5,Female,63,5
164,67,65.5,Male,70,4
164,67,65.5,Male,67.7,4
164,67,65.5,Female,63,4
164,67,65.5,Female,60,4
165,67,65,Male,65,3
165,67,65,Female,62,3
165,67,65,Female,62,3
166,67.5,65,Male,71,11
166,67.5,65,Male,69,11
166,67.5,65,Female,64,11
166,67.5,65,Female,64,11
166,67.5,65,Female,63,11
166,67.5,65,Female,63,11
166,67.5,65,Female,63,11
166,67.5,65,Female,63,11
166,67.5,65,Female,63,11
166,67.5,65,Female,62.5,11
166,67.5,65,Female,62,11
167,67,64,Male,71.5,4
167,67,64,Male,70,4
167,67,64,Male,67,4
167,67,64,Male,67,4
168,67,63.5,Male,71,8
168,67,63.5,Male,70.2,8
168,67,63.5,Male,69.2,8
168,67,63.5,Male,68.5,8
168,67,63.5,Male,68,8
168,67,63.5,Male,67,8
168,67,63.5,Male,65.5,8
168,67,63.5,Female,63.5,8
169,67,63,Male,69,3
169,67,63,Male,68,3
169,67,63,Female,63,3
170,67.5,62,Male,70,5
170,67.5,62,Male,69.5,5
170,67.5,62,Male,69,5
170,67.5,62,Male,68.5,5
170,67.5,62,Female,66,5
171,67,61,Male,67,1
172,66,67,Male,70.5,8
172,66,67,Male,70.5,8
172,66,67,Male,67,8
172,66,67,Male,66,8
172,66,67,Male,66,8
172,66,67,Female,62,8
172,66,67,Female,62,8
172,66,67,Female,61.5,8
173,66,67,Male,72,9
173,66,67,Male,65,9
173,66,67,Male,65,9
173,66,67,Female,67,9
173,66,67,Female,64,9
173,66,67,Female,64,9
173,66,67,Female,62,9
173,66,67,Female,60,9
173,66,67,Female,60,9
174,66,66,Male,66,5
174,66,66,Male,65,5
174,66,66,Female,67,5
174,66,66,Female,66.5,5
174,66,66,Female,65.5,5
175,66,66,Male,72,6
175,66,66,Male,68,6
175,66,66,Female,66,6
175,66,66,Female,65,6
175,66,66,Female,62,6
175,66,66,Female,61,6
176,66.5,65,Male,68.7,8
176,66.5,65,Male,68.5,8
176,66.5,65,Male,66.5,8
176,66.5,65,Male,64.5,8
176,66.5,65,Female,62.5,8
176,66.5,65,Female,60.5,8
176,66.5,65,Female,60.5,8
176,66.5,65,Female,57.5,8
177,66,65.5,Male,72,5
177,66,65.5,Male,71,5
177,66,65.5,Male,67,5
177,66,65.5,Female,66,5
177,66,65.5,Female,65,5
178,66,63,Male,70,1
179,66,63.5,Female,64.5,2
179,66,63.5,Female,62,2
180,66.5,63,Male,67.2,6
180,66.5,63,Male,67,6
180,66.5,63,Male,65,6
180,66.5,63,Female,65,6
180,66.5,63,Female,65,6
180,66.5,63,Female,63,6
181,66.5,62.5,Male,70,7
181,66.5,62.5,Male,68,7
181,66.5,62.5,Female,63.5,7
181,66.5,62.5,Female,62.5,7
181,66.5,62.5,Female,62.5,7
181,66.5,62.5,Female,62.5,7
181,66.5,62.5,Female,62.5,7
182,66,61.5,Male,70,1
183,66,60,Male,68,4
183,66,60,Male,67,4
183,66,60,Male,65,4
183,66,60,Female,60,4
184,66,60,Male,65,1
185,66,59,Male,68,15
185,66,59,Male,67,15
185,66,59,Male,66.5,15
185,66,59,Male,66,15
185,66,59,Male,65.7,15
185,66,59,Male,65.5,15
185,66,59,Male,65,15
185,66,59,Female,65,15
185,66,59,Female,64,15
185,66,59,Female,63,15
185,66,59,Female,62,15
185,66,59,Female,61,15
185,66,59,Female,60,15
185,66,59,Female,58,15
185,66,59,Female,57,15
186,65,67,Male,66.5,4
186,65,67,Male,66,4
186,65,67,Male,66,4
186,65,67,Female,65,4
187,65,67,Female,63,1
188,65,66,Male,63,4
188,65,66,Female,63,4
188,65,66,Female,63,4
188,65,66,Female,60,4
190,65,65,Male,69,9
190,65,65,Male,68,9
190,65,65,Male,68,9
190,65,65,Female,65,9
190,65,65,Female,65,9
190,65,65,Female,62,9
190,65,65,Female,62,9
190,65,65,Female,61,9
190,65,65,Female,59,9
191,65,65.5,Male,70.7,2
191,65,65.5,Female,65.5,2
192,65,65,Male,69.2,6
192,65,65,Male,69,6
192,65,65,Male,68,6
192,65,65,Male,67.7,6
192,65,65,Female,64.5,6
192,65,65,Female,60.5,6
193,65,64,Male,67,6
193,65,64,Male,67,6
193,65,64,Female,64,6
193,65,64,Female,64,6
193,65,64,Female,62.5,6
193,65,64,Female,60.5,6
194,65,63,Male,70,2
194,65,63,Female,63,2
195,65,63,Male,66,3
195,65,63,Male,66,3
195,65,63,Female,63,3
196,65.5,63,Male,71,4
196,65.5,63,Male,71,4
196,65.5,63,Male,69,4
196,65.5,63,Female,63.5,4
197,65.5,60,Male,68,5
197,65.5,60,Male,68,5
197,65.5,60,Male,67,5
197,65.5,60,Male,67,5
197,65.5,60,Female,62,5
198,64,64,Male,71.5,7
198,64,64,Male,68,7
198,64,64,Female,65.5,7
198,64,64,Female,64,7
198,64,64,Female,62,7
198,64,64,Female,62,7
198,64,64,Female,61,7
199,64,64,Male,70.5,7
199,64,64,Male,68,7
199,64,64,Female,67,7
199,64,64,Female,65,7
199,64,64,Female,64,7
199,64,64,Female,64,7
199,64,64,Female,60,7
200,64,63,Male,64.5,1
201,64,60,Male,66,2
201,64,60,Female,60,2
203,62,66,Male,64,3
203,62,66,Female,62,3
203,62,66,Female,61,3
204,62.5,63,Male,66.5,2
204,62.5,63,Female,57,2
136A,68.5,65,Male,72,8
136A,68.5,65,Male,70.5,8
136A,68.5,65,Male,68.7,8
136A,68.5,65,Male,68.5,8
136A,68.5,65,Male,67.7,8
136A,68.5,65,Female,64,8
136A,68.5,65,Female,63.5,8
136A,68.5,65,Female,63,8
